sample_size,exec_time_with_no_features,exec_time_with_features
10,0.5442677497863769,0.06392521858215332
32,2.83343186378479,0.19389774799346923
55,3.0439372777938845,0.8020958185195923
77,8.056529593467712,0.9715105056762695
100,9.953843975067139,1.0636432647705079
